Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,26,0,5,8.980238461775185,2.4033000008785166,100.44639999978244,628.0,2.937900864589866,0.0,5,6,6,7,9,16,100,100,100,100,100
,Aggregated,26,0,5,8.980238461775185,2.4033000008785166,100.44639999978244,628.0,2.937900864589866,0.0,5,6,6,7,9,16,100,100,100,100,100
