Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,124,0,16,18.8496048386874,11.174999999999999,63.65349999941827,630.0,4.323532359941249,0.0,16,18,21,22,26,34,46,63,64,64,64
GET,/api/status,128,0,14,15.290287500026027,9.966,42.13350000009086,630.0,4.463001145745806,0.0,14,16,17,18,19,20,22,42,42,42,42
,Aggregated,252,0,15,17.04169761904987,9.966,63.65349999941827,630.0,8.786533505687055,0.0,15,17,18,19,22,28,42,46,64,64,64
