Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,25,0,3,5.501575999514898,2.1649999980581924,52.31739999726415,626.0,2.819533517050878,0.0,3,4,5,5,7,7,52,52,52,52,52
,Aggregated,25,0,3,5.501575999514898,2.1649999980581924,52.31739999726415,626.0,2.819533517050878,0.0,3,4,5,5,7,7,52,52,52,52,52
