Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,20,0,5,4.651424999792653,2.4701999973331112,9.758500000316417,626.0,2.2685902131273648,0.0,5,5,5,5,6,10,10,10,10,10,10
GET,/api/status,11,11,4,8.655909090686526,2.3934999990160577,56.11880000287783,0.0,1.2477246172200507,1.2477246172200507,4,5,5,5,6,56,56,56,56,56,56
,Aggregated,31,11,5,6.072370967529189,2.3934999990160577,56.11880000287783,403.8709677419355,3.5163148303474157,1.2477246172200507,5,5,5,5,6,10,56,56,56,56,56
