Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,17,0,18,23.80731176419752,13.400199997704476,122.60089999836055,630.0,1.8759605287026968,0.0,18,19,19,19,25,120,120,120,120,120,120
GET,/api/status,10,0,16,17.242769999575103,14.244800000597024,20.85860000079265,630.0,1.1035061933545276,0.0,16,19,20,20,21,21,21,21,21,21,21
,Aggregated,27,0,17,21.375999999522552,13.400199997704476,122.60089999836055,630.0,2.979466722057224,0.0,17,19,19,20,21,25,120,120,120,120,120
