Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,127,0,3,4.18923779542688,2.1731999986513983,96.7796000004455,626.0,4.415205272047936,0.0,3,3,4,4,5,6,16,17,97,97,97
,Aggregated,127,0,3,4.18923779542688,2.1731999986513983,96.7796000004455,626.0,4.415205272047936,0.0,3,3,4,4,5,6,16,17,97,97,97
